return_id,issued_id,return_book_name,return_date,return_book_isbn
RS101,IS121,NULL,28-11-2024,NULL
RS102,IS122,NULL,29-11-2024,NULL
RS103,IS123,NULL,30-11-2024,NULL
RS104,IS106,NULL,01-12-2024,NULL
RS105,IS107,NULL,03-12-2024,NULL
RS106,IS108,NULL,05-12-2024,NULL
RS107,IS109,NULL,07-12-2024,NULL
RS108,IS110,NULL,09-12-2024,NULL
RS109,IS111,NULL,11-12-2024,NULL
RS110,IS112,NULL,13-12-2024,NULL
RS111,IS113,NULL,15-12-2024,NULL
RS112,IS114,NULL,17-12-2024,NULL
RS113,IS115,NULL,19-12-2024,NULL
RS114,IS116,NULL,21-12-2024,NULL
RS115,IS117,NULL,23-12-2024,NULL
RS116,IS118,NULL,25-12-2024,NULL
RS117,IS119,NULL,27-12-2024,NULL
RS118,IS120,NULL,29-12-2024,NULL
